               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064025,            0.029542,                   0,             0.53131,             0.57987,             0.55715,              0.2977,            0.022776,           0.0087796,                   0,            0.070326,           0.0032971,           0.0032971
                   1,            0.038092,            0.019714,                   0,             0.81535,             0.83387,             0.88315,             0.53041,            0.016717,           0.0056209,                   0,            0.040195,           0.0064992,           0.0064992
                   2,            0.035312,            0.018209,                   0,             0.78585,             0.86561,             0.85135,             0.52091,            0.016686,           0.0046733,                   0,           0.0099315,           0.0095692,           0.0095692
                   3,            0.028341,            0.016704,                   0,             0.91551,             0.92758,             0.95557,             0.63651,            0.013816,           0.0047607,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.029102,            0.015833,                   0,             0.88116,             0.85357,             0.92046,             0.58775,            0.013689,           0.0057006,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.027865,            0.015481,                   0,             0.94561,             0.92652,             0.97516,             0.70825,            0.012051,            0.004224,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.026026,            0.014994,                   0,             0.95096,             0.91892,             0.97107,             0.72438,            0.011273,           0.0043127,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.023099,            0.014226,                   0,             0.96718,             0.95722,             0.98692,             0.78137,           0.0095873,           0.0036781,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.023271,            0.014044,                   0,             0.96579,             0.97713,             0.98919,             0.77591,            0.010492,           0.0036454,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.022518,            0.013409,                   0,             0.98242,             0.97231,             0.99191,             0.81034,           0.0087924,           0.0034414,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.020281,            0.012901,                   0,             0.97165,             0.97497,             0.99152,             0.76817,           0.0097462,           0.0033816,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.021986,            0.013136,                   0,             0.96645,             0.96629,              0.9868,             0.79158,           0.0097734,           0.0034743,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.019854,            0.012891,                   0,             0.96435,             0.96495,             0.98454,              0.7719,           0.0090812,           0.0036042,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.020552,            0.013222,                   0,             0.97034,             0.97338,             0.98924,             0.71605,            0.011902,           0.0033297,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.019001,            0.012794,                   0,             0.96994,             0.97944,             0.98995,             0.79387,           0.0087961,           0.0032895,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.019305,            0.013148,                   0,             0.96856,             0.98509,             0.99069,             0.81194,            0.008265,           0.0033528,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.019185,            0.012682,                   0,             0.97448,             0.98456,             0.99257,             0.83287,            0.008013,           0.0031648,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.016746,            0.012167,                   0,             0.97932,             0.98403,             0.99244,             0.83288,           0.0076833,           0.0031189,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.017191,            0.012057,                   0,              0.9762,             0.98289,             0.99197,             0.83293,           0.0075681,           0.0031262,                   0,            0.006634,            0.006634,            0.006634
